166505	!!!	20150801:8469	20150802:2914	20150803:2917	20150804:2378	20150805:8463	20150806:8464	20150807:8461	20150808:2911	20150809:2915	20150810:2915	20150811:8468	20150812:2384	20150813:8464	20150814:8470	20150815:2922	20150816:2920	20150817:2918	20150818:2926	20150819:8468	20150820:8466	20150821:2923	20150822:8464	20150823:2914	20150824:8460	20150825:8466	20150826:2916	20150827:2916	20150828:2915	20150829:8464	20150830:8464	20150831:2390
105112	$	20150801:0	20150802:7203	20150803:9101	20150804:0	20150805:0	20150806:1020	20150807:8935	20150808:0	20150809:0	20150810:0	20150811:2655	20150812:5030	20150813:6621	20150814:133	20150815:0	20150816:0	20150817:0	20150818:1046	20150819:8932	20150820:0	20150821:5675	20150822:3322	20150823:5712	20150824:0	20150825:5711	20150826:6318	20150827:1083	20150828:9101	20150829:3261	20150830:8542	20150831:5711
112343	$1,000_genome	20150801:0	20150802:4830	20150803:2654	20150804:0	20150805:8968	20150806:6768	20150807:2205	20150808:403	20150809:7600	20150810:1082	20150811:6318	20150812:8542	20150813:0	20150814:0	20150815:0	20150816:1045	20150817:6394	20150818:1083	20150819:0	20150820:1047	20150821:8542	20150822:0	20150823:5675	20150824:4503	20150825:0	20150826:3322	20150827:7202	20150828:8933	20150829:5509	20150830:6396	20150831:3322
102956	$100_hamburger	20150801:0	20150802:7205	20150803:5711	20150804:2911	20150805:8998	20150806:0	20150807:5675	20150808:0	20150809:0	20150810:4831	20150811:8542	20150812:1021	20150813:5056	20150814:7203	20150815:0	20150816:6395	20150817:4830	20150818:7203	20150819:0	20150820:0	20150821:0	20150822:8543	20150823:0	20150824:0	20150825:402	20150826:132	20150827:7203	20150828:1046	20150829:0	20150830:8968	20150831:1081
103188	%22A%22_Is_for_Alibi	20150801:2489	20150802:0	20150803:9605	20150804:0	20150805:6097	20150806:2315	20150807:7474	20150808:8042	20150809:4881	20150810:0	20150811:1974	20150812:0	20150813:965	20150814:0	20150815:8694	20150816:0	20150817:3457	20150818:4262	20150819:6023	20150820:2761	20150821:3777	20150822:4373	20150823:1361	20150824:3777	20150825:2466	20150826:2214	20150827:8358	20150828:4291	20150829:3532	20150830:0	20150831:0
160171	%22Crocodile%22_Dundee	20150801:3566	20150802:4282	20150803:2525	20150804:8113	20150805:461	20150806:5525	20150807:9545	20150808:2756	20150809:3365	20150810:7016	20150811:5188	20150812:8757	20150813:156	20150814:5536	20150815:5521	20150816:9166	20150817:2155	20150818:2232	20150819:3296	20150820:7438	20150821:3372	20150822:3796	20150823:7361	20150824:3289	20150825:1368	20150826:8606	20150827:9592	20150828:9584	20150829:7576	20150830:8521	20150831:507
165594	%22Crocodile%22_Dundee_II	20150801:6329	20150802:3262	20150803:4892	20150804:0	20150805:9042	20150806:213	20150807:9905	20150808:8687	20150809:9795	20150810:2438	20150811:8952	20150812:6441	20150813:6391	20150814:216	20150815:212	20150816:3017	20150817:4178	20150818:3001	20150819:7354	20150820:2738	20150821:9798	20150822:1580	20150823:6099	20150824:7354	20150825:7590	20150826:9460	20150827:5163	20150828:5162	20150829:9296	20150830:2766	20150831:4263
132533	%22Dr._Death%22_Steve_Williams	20150801:2158	20150802:6199	20150803:4506	20150804:0	20150805:1180	20150806:6335	20150807:7724	20150808:562	20150809:3933	20150810:1482	20150811:105	20150812:4769	20150813:9007	20150814:3574	20150815:5056	20150816:1918	20150817:2878	20150818:9202	20150819:4888	20150820:1042	20150821:7782	20150822:7616	20150823:7034	20150824:7029	20150825:6466	20150826:2021	20150827:3008	20150828:3013	20150829:668	20150830:7080	20150831:4298
185120	%22Freeway%22_Rick_Ross	20150801:2153	20150802:6434	20150803:8513	20150804:1737	20150805:4638	20150806:9430	20150807:9257	20150808:264	20150809:7788	20150810:6754	20150811:3505	20150812:9293	20150813:8241	20150814:2151	20150815:6340	20150816:8610	20150817:405	20150818:9926	20150819:8509	20150820:7954	20150821:7055	20150822:6112	20150823:4511	20150824:5964	20150825:5623	20150826:5196	20150827:2826	20150828:4084	20150829:8016	20150830:3796	20150831:10035
107588	%22Hello,_world!%22_program	20150801:0	20150802:0	20150803:0	20150804:0	20150805:3923	20150806:6530	20150807:2011	20150808:0	20150809:6621	20150810:1976	20150811:0	20150812:0	20150813:9765	20150814:6986	20150815:0	20150816:5353	20150817:0	20150818:9239	20150819:4534	20150820:5589	20150821:8365	20150822:0	20150823:5943	20150824:3355	20150825:6446	20150826:6377	20150827:1507	20150828:1505	20150829:2056	20150830:9507	20150831:0
126242	%22Hello,_World!%22_program	20150801:3440	20150802:71	20150803:254	20150804:4853	20150805:4990	20150806:187	20150807:3469	20150808:3035	20150809:3145	20150810:2762	20150811:2486	20150812:9797	20150813:3028	20150814:2769	20150815:8386	20150816:1653	20150817:5462	20150818:1992	20150819:1189	20150820:3340	20150821:789	20150822:2524	20150823:2506	20150824:4639	20150825:4258	20150826:8473	20150827:9931	20150828:10027	20150829:3645	20150830:5639	20150831:7503
